treatment_id,treatment_name,success_rate,quality,latency_s,tokens,tool_calls,errors,cot_depth
T0,control,0.8485,0.9121,13.3553,1804.1515,0.7273,0.0303,1.697
T1,emotional-appeal,0.8182,0.8727,14.4183,1905.4545,0.697,0.0,1.3636
T2,stakes-negative,0.7879,0.8515,12.2122,1631.9697,0.5455,0.0,1.303
T3,stakes-positive,0.8485,0.8833,12.0867,1651.9697,0.6667,0.0,1.7273
T4,persona,0.9091,0.925,15.1198,2010.606,0.7576,0.0,1.6667
T5,goal-decomposition,0.8182,0.8606,11.1485,1602.7879,0.7576,0.0,1.1515
T6,identity,0.8182,0.903,12.6405,1630.0606,0.5758,0.0,0.9697
T7,encouragement,0.8788,0.9197,15.5772,2186.2727,0.6667,0.0,1.3333
T8,urgency,0.7576,0.8091,11.4822,1761.1212,0.6364,0.0,0.5455
T9,combined,0.8788,0.9227,14.2872,1914.7273,0.5758,0.0,1.3636
